ID,Symbol,Compound_Name,Three letter code,MAP_denotion,IUPAC_Name,CXSMILES,,IUPAC_Name,Natural_Analog,Monomer_Type,Polymer_Type,R1,R2,R3,capped_SMILES,,,PubChem_CID,IUPAC_Condensed
144,R,Arginine,,R,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,NC(=N)NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,R,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CCCNC(=N)N,,,6322,H-Arg-OH
145,dR,D-arginine,,R{d},(2R)-2-amino-5-(diaminomethylideneamino)pentanoic acid,NC(=N)NCCC[C@@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,(2R)-2-amino-5-(diaminomethylideneamino)pentanoic acid,R,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CCCNC(=N)N,,,71070,H-D-Arg-OH
146,"Arg(Me,Me)","N3,N4-dimethylarginine",,{nnr:4A4},"(2S)-2-amino-5-[(N,N'-dimethylcarbamimidoyl)amino]pentanoic acid",C/N=C(\NC)NCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,,"(2S)-2-amino-5-[(N,N'-dimethylcarbamimidoyl)amino]pentanoic acid",R,Backbone,PEPTIDE,H,OH,-,C/N=C(\NC)NCCC[C@@H](C=O)NC,,,169148,"H-Arg(Me,Me)-OH"
147,S,Serine,,S,(2S)-2-amino-3-hydroxypropanoic acid,OC[C@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,,(2S)-2-amino-3-hydroxypropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CO,,,5951,H-Ser-OH
148,dS,D-serine,,S{d},(2R)-2-amino-3-hydroxypropanoic acid,OC[C@@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|,,(2R)-2-amino-3-hydroxypropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)CO,,,71077,H-D-Ser-OH
149,meS,N-methyl-L-serine,,{nnr:FRN},(2S)-3-hydroxy-2-(methylamino)propanoic acid,CN([*])[C@@H](CO)C([*])=O |$;;_R1;;;;;_R2;$|,,(2S)-3-hydroxy-2-(methylamino)propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CO,,,7009640,Me-Ser-OH
150,Ser(Ac),O-acetyl-L-serine,,{nnr:70F},(2S)-3-acetyloxy-2-aminopropanoic acid,CC(=O)OC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,(2S)-3-acetyloxy-2-aminopropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COC(C)=O,,,99478,H-Ser(Ac)-OH
151,Ser(Bn),O-benzyl-L-serine,,{nnr:5E1},(2S)-2-amino-3-phenylmethoxypropanoic acid,[*]N[C@@H](COCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-phenylmethoxypropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COCc1ccccc1,,,78457,H-Ser(Bn)-OH
152,Ser(EtNMe2),O-(2-dimethylaminoethyl)-L-serine,,{nnr:1F9},(2S)-2-amino-3-[2-(dimethylamino)ethoxy]propanoic acid,CN(C)CCOC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-3-[2-(dimethylamino)ethoxy]propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COCCN(C)C,,,146517980,H-Ser(EtNMe2)-OH
153,Ser(EtOH),O-(2-hydroxyethyl)-L-serine,,{nnr:E54},(2S)-2-amino-3-(2-hydroxyethoxy)propanoic acid,[*]N[C@@H](COCCO)C([*])=O |$_R1;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(2-hydroxyethoxy)propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COCCO,,,12982259,H-Ser(EtOH)-OH
154,Ser(isoamyl),O-(3-methylbutyl)-L-serine,,{nnr:Q5I},(2S)-2-amino-3-(3-methylbutoxy)propanoic acid,CC(C)CCOC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-3-(3-methylbutoxy)propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COCCC(C)C,,,139681666,H-Ser(isoamyl)-OH
155,Ser(Me),O-methyl-L-serine,,{nnr:DPI},(2S)-2-amino-3-methoxypropanoic acid,COC[C@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2S)-2-amino-3-methoxypropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COC,,,88250,H-Ser(Me)-OH
156,dSer(Me),O-methyl-D-serine,,{nnr:G22},(2R)-2-amino-3-methoxypropanoic acid,COC[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2R)-2-amino-3-methoxypropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)COC,,,88251,H-D-Ser(Me)-OH
157,Ser(Ph(2-Cl)),O-(2-chlorophenyl)-L-serine,,{nnr:7WS},(2S)-2-amino-3-(2-chlorophenoxy)propanoic acid,[*]N[C@@H](COc1ccccc1Cl)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(2-chlorophenoxy)propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COc1ccccc1Cl,,,142490742,H-Ser(Ph(2-Cl))-OH
158,Ser(Ph(3-Cl)),O-(3-chlorophenyl)-L-serine,,{nnr:Z1Q},(2S)-2-amino-3-(3-chlorophenoxy)propanoic acid,[*]N[C@@H](COc1cccc(Cl)c1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(3-chlorophenoxy)propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COc1cccc(Cl)c1,,,57134621,H-Ser(Ph(3-Cl))-OH
159,Ser(Pr),O-propyl-L-serine,,{nnr:TX8},(2S)-2-amino-3-propoxypropanoic acid,CCCOC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-3-propoxypropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CCCOC[C@@H](C=O)NC,,,54515073,H-Ser(Pr)-OH
160,Ser(tBu),O-tert-butyl-L-serine,,{nnr:V4G},(2S)-2-amino-3-[(2-methylpropan-2-yl)oxy]propanoic acid,CC(C)(C)OC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,,(2S)-2-amino-3-[(2-methylpropan-2-yl)oxy]propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)COC(C)(C)C,,,7004940,H-Ser(tBu)-OH
161,Me_Ser(isoamyl),N-methyl-O-(3-methylbutyl)-L-serine,,{nnr:2O9},(2S)-2-(methylamino)-3-(3-methylbutoxy)propanoic acid,CC(C)CCOC[C@@H](C([*])=O)N(C)[*] |$;;;;;;;;;_R2;;;;_R1$|,,(2S)-2-(methylamino)-3-(3-methylbutoxy)propanoic acid,S,Backbone,PEPTIDE,H,OH,-,CC(C)CCOC[C@@H](C=O)N(C)C,,,142490909,Me-Ser(isoamyl)-OH
162,Me_Ser(Pr),N-methyl-O-propyl-L-serine,,{nnr:C7F},(2S)-2-(methylamino)-3-propoxypropanoic acid,CCCOC[C@@H](C([*])=O)N(C)[*] |$;;;;;;;_R2;;;;_R1$|,,(2S)-2-(methylamino)-3-propoxypropanoic acid,S,Backbone,PEPTIDE,H,OH,-,CCCOC[C@@H](C=O)N(C)C,,,142490785,Me-Ser(Pr)-OH
163,Sar,Sarcosine,,{nnr:0OZ},2-(methylamino)acetic acid,CN([*])CC([*])=O |$;;_R1;;;_R2;$|,,2-(methylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(C)CC=O,,,1088,H-Sar-OH
164,Sta,Statine,STA,{nnr:STA},"(3S,4S)-4-amino-3-hydroxy-6-methylheptanoic acid",CC(C)C[C@H](N[*])[C@@H](O)CC([*])=O |$;;;;;;_R1;;;;;_R2;$|,,"(3S,4S)-4-amino-3-hydroxy-6-methylheptanoic acid",X,Backbone,PEPTIDE,H,OH,-,CN[C@@H](CC(C)C)[C@@H](O)CC=O,,,123915,H-Sta-OH
165,"Sta(3R,4R)",N.D,SRR,{nnr:SRR},"(3R,4R)-4-amino-3-hydroxy-6-methylheptanoic acid",CC(C)C[C@@H](N[*])[C@H](O)CC([*])=O |$;;;;;;_R1;;;;;_R2;$|,,"(3R,4R)-4-amino-3-hydroxy-6-methylheptanoic acid",X,Backbone,PEPTIDE,H,OH,-,CN[C@H](CC(C)C)[C@H](O)CC=O,,,10910087,"H-Sta(3R,4R)-OH"
166,T,Threonine,,T,"(2S,3R)-2-amino-3-hydroxybutanoic acid",C[C@@H](O[*])[C@H](N[*])C([*])=O |$;;;_R3;;;_R1;;_R2;$|,,"(2S,3R)-2-amino-3-hydroxybutanoic acid",T,Backbone,PEPTIDE,H,OH,H,CN[C@H](C=O)[C@@H](C)OC,,,6288,H-Thr-OH
167,dT,D-threonine,,T{d},"(2R,3S)-2-amino-3-hydroxybutanoic acid",C[C@H](O)[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,,"(2R,3S)-2-amino-3-hydroxybutanoic acid",T,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)[C@H](C)O,,,69435,H-D-Thr-OH
168,meT,N-methyl-L-threonine,,{nnr:2MF},"(2S,3R)-3-hydroxy-2-(methylamino)butanoic acid",C[C@@H](O)[C@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2S,3R)-3-hydroxy-2-(methylamino)butanoic acid",T,Backbone,PEPTIDE,H,OH,-,C[C@@H](O)[C@@H](C=O)N(C)C,,,7010355,Me-Thr-OH
169,Me_Bmt(E),N-methyl-(4R)-4-[(E)-but-2-enyl]-4-methyl-L-threonine,MBM,{nnr:MBM},"(E,2S,3R,4R)-3-hydroxy-4-methyl-2-(methylamino)oct-6-enoic acid",C/C=C/C[C@@H](C)[C@@H](O[*])[C@@H](C([*])=O)N(C)[*] |$;;;;;;;;_R3;;;_R2;;;;_R1$|,,"(E,2S,3R,4R)-3-hydroxy-4-methyl-2-(methylamino)oct-6-enoic acid",T,Backbone,PEPTIDE,H,OH,H,C/C=C/C[C@@H](C)[C@@H](OC)[C@@H](C=O)N(C)C,,,11769539,Me-Bmt(E)-OH
170,Tle,2-tert-butyl-L-glycine,,{nnr:YPX},"(2S)-2-amino-3,3-dimethylbutanoic acid",CC(C)(C)[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2S)-2-amino-3,3-dimethylbutanoic acid",G,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)C(C)(C)C,,,164608,H-Gly(tBu)-OH
171,Tza,Thiazolylalanine,TZA,{nnr:TZA},"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid",[*]N[C@@H](Cc1cscn1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,,"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid",A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1cscn1,,,2761495,H-Tza-OH
172,Me_Tza,N-methyl-L-thiazolylalanine,MTZ,{nnr:MTZ},"(2S)-2-(methylamino)-3-(1,3-thiazol-4-yl)propanoic acid",CN([*])[C@@H](Cc1cscn1)C([*])=O |$;;_R1;;;;;;;;;_R2;$|,,"(2S)-2-(methylamino)-3-(1,3-thiazol-4-yl)propanoic acid",A,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1cscn1,,,54308736,Me-Tza-OH
173,V,Valine,,V,(2S)-2-amino-3-methylbutanoic acid,CC(C)[C@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2S)-2-amino-3-methylbutanoic acid,V,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)C(C)C,,,6287,H-Val-OH
174,dV,D-valine,,V{d},(2R)-2-amino-3-methylbutanoic acid,CC(C)[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2R)-2-amino-3-methylbutanoic acid,V,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)C(C)C,,,71563,H-D-Val-OH
175,meV,N-methyl-L-valine,,{nnr:0Q3},(2S)-3-methyl-2-(methylamino)butanoic acid,CC(C)[C@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2S)-3-methyl-2-(methylamino)butanoic acid,V,Backbone,PEPTIDE,H,OH,-,CC(C)[C@@H](C=O)N(C)C,,,444080,Me-Val-OH
176,Me_dV,N-methyl-D-valine,,{nnr:Z11},(2R)-3-methyl-2-(methylamino)butanoic acid,CC(C)[C@@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,(2R)-3-methyl-2-(methylamino)butanoic acid,V,Backbone,PEPTIDE,H,OH,-,CC(C)[C@H](C=O)N(C)C,,,6951143,Me-D-Val-OH
177,(N->O)Val,N.D,NOV,{nnr:NOV},(2S)-2-hydroxy-3-methylbutanoic acid,CC(C)[C@H](O[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2S)-2-hydroxy-3-methylbutanoic acid,V,Backbone,PEPTIDE,H,OH,-,CO[C@H](C=O)C(C)C,,,853180,N.D
178,d(N->O)Val,N.D,DOV,{nnr:DOV},(2R)-2-hydroxy-3-methylbutanoic acid,CC(C)[C@@H](O[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2R)-2-hydroxy-3-methylbutanoic acid,V,Backbone,PEPTIDE,H,OH,-,CO[C@@H](C=O)C(C)C,,,5289545,N.D
179,(N->O)Val(3-OH),N.D,NOH,{nnr:NOH},"(2S)-2,3-dihydroxy-3-methylbutanoic acid",CC(C)(O)[C@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,,"(2S)-2,3-dihydroxy-3-methylbutanoic acid",V,Backbone,PEPTIDE,H,OH,-,CO[C@H](C=O)C(C)(C)O,,,53973411,N.D
180,W,Tryptophan,,W,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,[*]N[C@@H](Cc1c[nH]c2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,W,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1c[nH]c2ccccc12,,,6305,H-Trp-OH
181,meW,N-methyl-L-tryptophan,,{nnr:Q2W},(2S)-3-(1H-indol-3-yl)-2-(methylamino)propanoic acid,CN([*])[C@@H](Cc1c[nH]c2ccccc12)C([*])=O |$;;_R1;;;;;;;;;;;;;_R2;$|,,(2S)-3-(1H-indol-3-yl)-2-(methylamino)propanoic acid,W,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1c[nH]c2ccccc12,,,160511,Me-Trp-OH
182,Me_dW,N-methyl-D-tryptophan,,{nnr:7RK},(2R)-3-(1H-indol-3-yl)-2-(methylamino)propanoic acid,CN([*])[C@H](Cc1c[nH]c2ccccc12)C([*])=O |$;;_R1;;;;;;;;;;;;;_R2;$|,,(2R)-3-(1H-indol-3-yl)-2-(methylamino)propanoic acid,W,Backbone,PEPTIDE,H,OH,-,CN(C)[C@@H](C=O)Cc1c[nH]c2ccccc12,,,688254,Me-D-Trp-OH
183,Trp(5-Br),5-bromo-L-tryptophan,,{nnr:0E8},(2S)-2-amino-3-(5-bromo-1H-indol-3-yl)propanoic acid,[*]N[C@@H](Cc1c[nH]c2ccc(Br)cc12)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(5-bromo-1H-indol-3-yl)propanoic acid,W,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1c[nH]c2ccc(Br)cc12,,,644329,H-Trp(5-Br)-OH
184,Trp(6-Br),6-bromo-L-tryptophan,,{nnr:1HY},(2S)-2-amino-3-(6-bromo-1H-indol-3-yl)propanoic acid,[*]N[C@@H](Cc1c[nH]c2cc(Br)ccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(6-bromo-1H-indol-3-yl)propanoic acid,W,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1c[nH]c2cc(Br)ccc12,,,9856996,H-Trp(6-Br)-OH
185,Trp(7-Br),7-bromo-L-tryptophan,,{nnr:OT3},(2S)-2-amino-3-(7-bromo-1H-indol-3-yl)propanoic acid,[*]N[C@@H](Cc1c[nH]c2c(Br)cccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(7-bromo-1H-indol-3-yl)propanoic acid,W,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1c[nH]c2c(Br)cccc12,,,11737641,H-Trp(7-Br)-OH
186,Y,Tyrosine,,Y,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,Oc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc(O)cc1,,,6057,H-Tyr-OH
187,dY,D-tyrosine,,Y{d},(2R)-2-amino-3-(4-hydroxyphenyl)propanoic acid,Oc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,,(2R)-2-amino-3-(4-hydroxyphenyl)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)Cc1ccc(O)cc1,,,71098,H-D-Tyr-OH
188,meY,N-methyl-L-tyrosine,,{nnr:PLN},(2S)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,CN([*])[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,,(2S)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1ccc(O)cc1,,,68309,Me-Tyr-OH
189,Me_dY,N-methyl-D-tyrosine,,{nnr:8SI},(2R)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,CN([*])[C@H](Cc1ccc(O)cc1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,,(2R)-3-(4-hydroxyphenyl)-2-(methylamino)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CN(C)[C@@H](C=O)Cc1ccc(O)cc1,,,7010357,Me-D-Tyr-OH
190,Tyr(3-F),3-fluoro-L-tyrosine,,{nnr:ZC8},(2S)-2-amino-3-(3-fluoro-4-hydroxyphenyl)propanoic acid,[*]N[C@@H](Cc1ccc(O)c(F)c1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(3-fluoro-4-hydroxyphenyl)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc(O)c(F)c1,,,643330,H-Tyr(3-F)-OH
191,Tyr(CHF2),O4-(difluoromethyl)-L-tyrosine,,{nnr:WVO},(2S)-2-amino-3-[4-(difluoromethoxy)phenyl]propanoic acid,[*]N[C@@H](Cc1ccc(OC(F)F)cc1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-[4-(difluoromethoxy)phenyl]propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc(OC(F)F)cc1,,,2341916,H-Tyr(CHF2)-OH
192,Tyr(Me),O-methyl-L-tyrosine,,{nnr:JES},(2S)-2-amino-3-(4-methoxyphenyl)propanoic acid,COc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;_R1;;_R2;;;$|,,(2S)-2-amino-3-(4-methoxyphenyl)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc(OC)cc1,,,2723935,H-Tyr(Me)-OH
193,Me_Tyr(Me),N-methyl-O4-methyl-L-tyrosine,,{nnr:OMQ},(2S)-3-(4-methoxyphenyl)-2-(methylamino)propanoic acid,COc1ccc(C[C@H](N(C)[*])C([*])=O)cc1 |$;;;;;;;;;;_R1;;_R2;;;$|,,(2S)-3-(4-methoxyphenyl)-2-(methylamino)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,COc1ccc(C[C@@H](C=O)N(C)C)cc1,,,7010618,Me-Tyr(Me)-OH
194,dTyr(bR-OMe),(betaR)-beta-methoxy-D-tyrosine,MDT,{nnr:MDT},"(2R,3R)-2-amino-3-(4-hydroxyphenyl)-3-methoxypropanoic acid",CO[C@H](c1ccc(O)cc1)[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,,"(2R,3R)-2-amino-3-(4-hydroxyphenyl)-3-methoxypropanoic acid",Y,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)[C@H](OC)c1ccc(O)cc1,,,90821363,H-D-Tyr(bR-OMe)-OH
195,(N->O)Tyr,N.D,NOT,{nnr:NTO},(2S)-2-hydroxy-3-(4-hydroxyphenyl)propanoic acid,[*]O[C@@H](Cc1ccc(O)cc1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,,(2S)-2-hydroxy-3-(4-hydroxyphenyl)propanoic acid,Y,Backbone,PEPTIDE,H,OH,-,CO[C@H](C=O)Cc1ccc(O)cc1,,,9920545,N.D
196,Mono1,N-piperonyl glycine,M01,{nnr:M01},"2-(1,3-benzodioxol-5-ylmethylamino)acetic acid",[*]N(CC([*])=O)Cc1ccc2OCOc2c1 |$_R1;;;;_R2;;;;;;;;;;;$|,,"2-(1,3-benzodioxol-5-ylmethylamino)acetic acid",G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)Cc1ccc2c(c1)OCO2,,,19437364,N.D
197,Mono2,3beta-methyl-L-proline,M02,{nnr:M02},"(2S,3S)-3-methylpyrrolidine-2-carboxylic acid",C[C@H]1CCN([*])[C@@H]1C([*])=O |$;;;;;_R1;;;_R2;$|,,"(2S,3S)-3-methylpyrrolidine-2-carboxylic acid",P,Backbone,PEPTIDE,H,OH,-,C[C@H]1CCN(C)[C@@H]1C=O,,,2724879,N.D
198,Mono3,N.D,M03,{nnr:M03},(2S)-2-(methylamino)-4-piperidin-1-ylbutanoic acid,CN([*])[C@@H](CCN1CCCCC1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,,(2S)-2-(methylamino)-4-piperidin-1-ylbutanoic acid,X,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CCN1CCCCC1,,,N.D,N.D
199,Mono4,N.D,M04,{nnr:M04},(2S)-2-(methylamino)-4-oxo-4-piperidin-1-ylbutanoic acid,CN([*])[C@@H](CC(=O)N1CCCCC1)C([*])=O |$;;_R1;;;;;;;;;;;;_R2;$|,,(2S)-2-(methylamino)-4-oxo-4-piperidin-1-ylbutanoic acid,N,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CC(=O)N1CCCCC1,,,N.D,N.D
200,Mono5,N.D,M05,{nnr:M05},(2S)-2-(methylamino)-4-morpholin-4-yl-4-oxobutanoic acid,CN([*])[C@@H](CC(=O)N1CCOCC1)C([*])=O |$;;_R1;;;;;;;;;;;;_R2;$|,,(2S)-2-(methylamino)-4-morpholin-4-yl-4-oxobutanoic acid,N,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)CC(=O)N1CCOCC1,,,N.D,N.D
201,Mono6,N.D,M06,{nnr:M06},4-(methylamino)butanoic acid,CN([*])CCCC([*])=O |$;;_R1;;;;;_R2;$|,,4-(methylamino)butanoic acid,X,Backbone,PEPTIDE,H,OH,-,CN(C)CCCC=O,,,70703,N.D
202,Bal(3-Me),L-3-aminobutyric acid,L3B,{nnr:L3B},(3S)-3-aminobutanoic acid,C[C@@H](CC([*])=O)N[*] |$;;;;_R2;;;_R1$|,,(3S)-3-aminobutanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C)CC=O,,,2761506,H-bAla(3S-Me)-OH
203,Bal(d3-CF3),(3R)-3-(trifluoromethyl)-beta-alanine,BA3,{nnr:BA3},"(3S)-3-amino-4,4,4-trifluorobutanoic acid",[*]N[C@@H](CC([*])=O)C(F)(F)F |$_R1;;;;;_R2;;;;;$|,,"(3S)-3-amino-4,4,4-trifluorobutanoic acid",A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](CC=O)C(F)(F)F,,,1549686,H-bAla(3R-CF3)-OH
204,Mono9,N.D,M09,{nnr:M09},4-[4-[(2S)-2-amino-2-carboxyethyl]phenyl]pent-4-enoic acid,C=C(CCC([*])=O)c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;_R3;;;;;;;;;_R1;;_R2;;;$|,,4-[4-[(2S)-2-amino-2-carboxyethyl]phenyl]pent-4-enoic acid,F,Backbone,PEPTIDE,H,OH,OH,C=C(CCC=O)c1ccc(C[C@@H](C=O)NC)cc1,,,122466734,N.D
205,Mono10,N.D,M010,{nnr:M10},4-[3-[(2S)-2-amino-2-carboxyethyl]phenyl]pent-4-enoic acid,C=C(CCC([*])=O)c1cccc(C[C@H](N[*])C([*])=O)c1 |$;;;;;_R3;;;;;;;;;;_R1;;_R2;;$|,,4-[3-[(2S)-2-amino-2-carboxyethyl]phenyl]pent-4-enoic acid,F,Backbone,PEPTIDE,H,OH,OH,C=C(CCC=O)c1cccc(C[C@@H](C=O)NC)c1,,,122466733,N.D
206,Mono11,N.D,M011,{nnr:M11},6-[4-[(2S)-2-amino-2-carboxyethyl]phenyl]hexanoic acid,[*]N[C@@H](Cc1ccc(CCCCCC([*])=O)cc1)C([*])=O |$_R1;;;;;;;;;;;;;;_R3;;;;;_R2;$|,,6-[4-[(2S)-2-amino-2-carboxyethyl]phenyl]hexanoic acid,F,Backbone,PEPTIDE,H,OH,OH,CN[C@H](C=O)Cc1ccc(CCCCCC=O)cc1,,,122466735,N.D
207,Mono12,N.D,M012,{nnr:M12},5-[3-[(2S)-2-amino-2-carboxyethyl]phenyl]pentanoic acid,[*]N[C@@H](Cc1cccc(CCCCC([*])=O)c1)C([*])=O |$_R1;;;;;;;;;;;;;;_R3;;;;_R2;$|,,5-[3-[(2S)-2-amino-2-carboxyethyl]phenyl]pentanoic acid,F,Backbone,PEPTIDE,H,OH,OH,CN[C@H](C=O)Cc1cccc(CCCCC=O)c1,,,122466736,N.D
208,Mono13,N.D,M013,{nnr:M13},"(2S)-1-[(2S,3S)-3-amino-1-(tert-butylamino)-1-oxobutan-2-yl]pyrrolidine-2-carboxylic acid",C[C@H](N[*])[C@@H](C(=O)NC(C)(C)C)N1CCC[C@H]1C([*])=O |$;;;_R1;;;;;;;;;;;;;;;_R2;$|,,"(2S)-1-[(2S,3S)-3-amino-1-(tert-butylamino)-1-oxobutan-2-yl]pyrrolidine-2-carboxylic acid",P,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C)[C@@H](C(=O)NC(C)(C)C)N1CCC[C@H]1C=O,,,138461685,N.D
209,Mono14,N.D,M014,{nnr:M14},"2-[(1S,2R)-1-amino-2-methylbutyl]-4H-1,3-thiazole-4-carboxylic acid",CC[C@@H](C)[C@H](N[*])c1nc(C([*])=O)cs1 |$;;;;;;_R1;;;;;_R2;;;$|,,"2-[(1S,2R)-1-amino-2-methylbutyl]-4H-1,3-thiazole-4-carboxylic acid",X,Backbone,PEPTIDE,H,OH,-,CC[C@@H](C)[C@H](NC)c1nc(C=O)cs1,,,N.D,N.D
