ID,Symbol,Compound_Name,Three letter code,MAP_denotion,IUPAC_Name,CXSMILES,,IUPAC_Name,Natural_Analog,Monomer_Type,Polymer_Type,R1,R2,R3,capped_SMILES,,,PubChem_CID,IUPAC_Condensed
43,Phe(4-CF3),4-(trifluoromethyl)-L-phenylalanine,,{nnr:Z6U},(2S)-2-amino-3-[4-(trifluoromethyl)phenyl]propanoic acid,FC(F)(F)c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,,(2S)-2-amino-3-[4-(trifluoromethyl)phenyl]propanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc(C(F)(F)F)cc1,,,2761501,H-Phe(4-CF3)-OH
44,Phe(4-NO2),4-nitro-L-phenylalanine,,{nnr:0U2},(2S)-2-amino-3-(4-nitrophenyl)propanoic acid,[*]N[C@@H](Cc1ccc(cc1)N(=O)=O)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-(4-nitrophenyl)propanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc([N+](=O)[O-])cc1,,,13706,H-Phe(4-NO2)-OH
45,Phe(CHF2),4-(difluoromethyl)-L-phenylalanine,,{nnr:7GH},(2S)-2-amino-3-[4-(difluoromethyl)phenyl]propanoic acid,[*]N[C@@H](Cc1ccc(C(F)F)cc1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,,(2S)-2-amino-3-[4-(difluoromethyl)phenyl]propanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1ccc(C(F)F)cc1,,,79016552,H-Phe(CHF2)-OH
46,"dPhe(3,4-diF)","3,4-difluoro-D-phenylalanine",,{nnr:M47},"(2R)-2-amino-3-(3,4-difluorophenyl)propanoic acid",Fc1ccc(C[C@@H](N[*])C([*])=O)cc1F |$;;;;;;;;_R1;;_R2;;;;$|,,"(2R)-2-amino-3-(3,4-difluorophenyl)propanoic acid",F,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)Cc1ccc(F)c(F)c1,,,716298,"H-D-Phe(3,4-diF)-OH"
47,Et_Phe,N-ethyl-L-phenylalanine,,{nnr:YZB},(2S)-2-(ethylamino)-3-phenylpropanoic acid,CCN([*])[C@@H](Cc1ccccc1)C([*])=O |$;;;_R1;;;;;;;;;;_R2;$|,,(2S)-2-(ethylamino)-3-phenylpropanoic acid,F,Backbone,PEPTIDE,H,OH,-,CCN(C)[C@H](C=O)Cc1ccccc1,,,10566639,Et-Phe-OH
48,H2NEt_Phe,N-(2-aminoethyl)-L-phenylalanine,,{nnr:Z36},(2S)-2-(2-aminoethylamino)-3-phenylpropanoic acid,[*]NCCN[C@@H](Cc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,,(2S)-2-(2-aminoethylamino)-3-phenylpropanoic acid,F,Backbone,PEPTIDE,H,OH,-,CNCCN[C@H](C=O)Cc1ccccc1,,,13477633,H2NEt-Phe-OH
49,Me_Phe(3-Cl),N-methyl-3-chloro-L-phenylalanine,,{nnr:7EU},(2S)-3-(3-chlorophenyl)-2-(methylamino)propanoic acid,CN([*])[C@@H](Cc1cccc(Cl)c1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,,(2S)-3-(3-chlorophenyl)-2-(methylamino)propanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1cccc(Cl)c1,,,54398520,Me-Phe(3-Cl)-OH
50,Me_Phe(4-Cl),N-methyl-4-chloro-L-phenylalanine,,{nnr:ZV0},(2S)-3-(4-chlorophenyl)-2-(methylamino)propanoic acid,CN([*])[C@@H](Cc1ccc(Cl)cc1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,,(2S)-3-(4-chlorophenyl)-2-(methylamino)propanoic acid,F,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1ccc(Cl)cc1,,,54210986,Me-Phe(4-Cl)-OH
51,"Me_Phe(a,b-dehydro)","N-methyl-alpha,beta-didehydro-phenylalanine",ABF,{nnr:ABF},(Z)-2-(methylamino)-3-phenylprop-2-enoic acid,CN([*])/C(=C\c1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,,(Z)-2-(methylamino)-3-phenylprop-2-enoic acid,F,Backbone,PEPTIDE,H,OH,-,CN(C)/C(C=O)=C\c1ccccc1,,,87195324,"Me-Phe(a,b-dehydro)-OH"
52,G,Glycine,,G,2-aminoacetic acid,[*]NCC([*])=O |$_R1;;;;_R2;$|,,2-aminoacetic acid,G,Backbone,PEPTIDE,H,OH,-,CNCC=O,,,750,H-Gly-OH
53,Bn_Gly,N-benzyl-glycine,,{nnr:07X},2-(benzylamino)acetic acid,[*]N(CC([*])=O)Cc1ccccc1 |$_R1;;;;_R2;;;;;;;;$|,,2-(benzylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)Cc1ccccc1,,,86965,Bn-Gly-OH
54,Bn(4-Cl)_Gly,N-(4-chlorobenzyl)-glycine,,{nnr:IIO},2-[(4-chlorophenyl)methylamino]acetic acid,[*]N(CC([*])=O)Cc1ccc(Cl)cc1 |$_R1;;;;_R2;;;;;;;;;$|,,2-[(4-chlorophenyl)methylamino]acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)Cc1ccc(Cl)cc1,,,413853,Bn(4-Cl)-Gly-OH
55,Bn(4-OH)_Gly,N-(4-hydroxybenzyl)-glycine,,{nnr:SFZ},2-[(4-hydroxyphenyl)methylamino]acetic acid,Oc1ccc(CN([*])CC([*])=O)cc1 |$;;;;;;;_R1;;;_R2;;;$|,,2-[(4-hydroxyphenyl)methylamino]acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)Cc1ccc(O)cc1,,,15384589,Bn(4-OH)-Gly-OH
56,Bu_Gly,N-butyl-glycine,,{nnr:U8F},2-(butylamino)acetic acid,CCCCN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,,2-(butylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CCCCN(C)CC=O,,,413376,Bu-Gly-OH
57,iBu_Gly,N-isobutyl-glycine,,{nnr:Z2H},2-(2-methylpropylamino)acetic acid,CC(C)CN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,,2-(2-methylpropylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CC(C)CN(C)CC=O,,,10261121,iBu-Gly-OH
58,Et_Gly,N-ethyl-glycine,,{nnr:KTS},2-(ethylamino)acetic acid,CCN([*])CC([*])=O |$;;;_R1;;;_R2;$|,,2-(ethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CCN(C)CC=O,,,316542,Et-Gly-OH
59,EtOEt_Gly,N-(2-ethoxyethyl)-glycine,,{nnr:N2X},2-(2-ethoxyethylamino)acetic acid,CCOCCN([*])CC([*])=O |$;;;;;;_R1;;;_R2;$|,,2-(2-ethoxyethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CCOCCN(C)CC=O,,,43465734,EtOEt-Gly-OH
60,HOCOCH2_Gly_ol,Petalonine,PTO,{nnr:PTO},2-(2-hydroxyethylamino)acetic acid,[*]N(CCO)CC([*])=O |$_R1;;;;;;;_R2;$|,,2-(2-hydroxyethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)CCO,,,225935,HOCOCH2-Gly-ol
61,MeOEt_Gly,N-(2-methoxyethyl)-glycine,,{nnr:6P7},2-(2-methoxyethylamino)acetic acid,COCCN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,,2-(2-methoxyethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,COCCN(C)CC=O,,,9964102,MeOEt-Gly-OH
62,NH2Bu_Gly,N-(4-aminobutyl)glycine,,{nnr:9OA},2-(4-aminobutylamino)acetic acid,[*]N(CCCCN)CC([*])=O |$_R1;;;;;;;;;_R2;$|,,2-(4-aminobutylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)CCCCN,,,10909707,NH2Bu-Gly-OH
63,Pr_Gly,N-propyl-glycine,,{nnr:PW4},2-(propylamino)acetic acid,CCCN([*])CC([*])=O |$;;;;_R1;;;_R2;$|,,2-(propylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CCCN(C)CC=O,,,414243,Pr-Gly-OH
64,PhEt_Gly,N-(2-phenylethyl)-glycine,,{nnr:OH2},2-(2-phenylethylamino)acetic acid,[*]N(CCc1ccccc1)CC([*])=O |$_R1;;;;;;;;;;;;_R2;$|,,2-(2-phenylethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)CCc1ccccc1,,,242245,PhEt-Gly-OH
65,PhPr_Gly,N-(3-phenylpropyl)-glycine,,{nnr:GHH},2-(3-phenylpropylamino)acetic acid,[*]N(CCCc1ccccc1)CC([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,,2-(3-phenylpropylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)CCCc1ccccc1,,,18618269,PhPr-Gly-OH
66,cHexCH2_Gly,N-cyclohexylmethyl-glycine,,{nnr:5S1},2-(cyclohexylmethylamino)acetic acid,[*]N(CC1CCCCC1)CC([*])=O |$_R1;;;;;;;;;;;_R2;$|,,2-(cyclohexylmethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)CC1CCCCC1,,,17901913,cHexCH2-Gly-OH
67,isoamyl_Gly,N-(3-methylbutyl)-glycine,,{nnr:A2S},2-(3-methylbutylamino)acetic acid,CC(C)CCN([*])CC([*])=O |$;;;;;;_R1;;;_R2;$|,,2-(3-methylbutylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CC(C)CCN(C)CC=O,,,90201,isoamyl-Gly-OH
68,pentyl_Gly,N-pentyl-glycine,,{nnr:7EW},2-(pentylamino)acetic acid,CCCCCN([*])CC([*])=O |$;;;;;;_R1;;;_R2;$|,,2-(pentylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CCCCCN(C)CC=O,,,414247,pentyl-Gly-OH
69,3-pyridylethyl_Gly,N-(2-pyrid-3-ylethyl)-glycine,NPY,{nnr:NPY},2-(2-pyridin-3-ylethylamino)acetic acid,[*]N(CCc1cccnc1)CC([*])=O |$_R1;;;;;;;;;;;;_R2;$|,,2-(2-pyridin-3-ylethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)CCc1cccnc1,,,60766821,3-pyridylethyl-Gly-OH
70,2-pyridylmethyl_Gly,N-pyrid-2-ylmethyl-glycine,NPG,{nnr:NPG},2-(pyridin-2-ylmethylamino)acetic acid,[*]N(CC([*])=O)Cc1ccccn1 |$_R1;;;;_R2;;;;;;;;$|,,2-(pyridin-2-ylmethylamino)acetic acid,G,Backbone,PEPTIDE,H,OH,-,CN(CC=O)Cc1ccccn1,,,10103509,2-pyridylmethyl-Gly-OH
71,d(N->O)Gly(allyl),N.D,NOG,{nnr:NOG},(2R)-2-hydroxypent-4-enoic acid,C=CC[C@@H](O[*])C([*])=O |$;;;;;_R1;;_R2;$|,,(2R)-2-hydroxypent-4-enoic acid,G,Backbone,PEPTIDE,H,OH,-,C=CC[C@H](C=O)OC,,,12192434,N.D
